config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
RPG_p=5,Compound.I,399,5,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.441912,5,true,900.062,"192 246 70 139 311"
RPG_p=10,Compound.I,399,5,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.441912,5,true,900.043,"139 192 70 311 246"
RPG_p=20,Compound.I,399,5,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.441912,5,true,900.516,"139 192 70 246 311"
GRASP_POP_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.441917,5,true,900.400,"192 69 140 311 246"
GRASP_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.400339,6,true,900.228,"70 139 246 166 209 311"
GRASP_RW_BI_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-0.400339,6,true,490.824,"246 139 166 311 70 209"
GRASP_FI_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.400339,6,true,900.438,"311 70 139 166 246 209"
RPG_p=5,Compound.I,399,6,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.400339,6,true,900.731,"311 70 139 209 166 246"
RPG_p=10,Compound.I,399,6,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.400339,6,true,900.183,"70 209 139 246 166 311"
RPG_p=20,Compound.I,399,6,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.400339,6,true,900.406,"70 246 139 166 311 209"
